func,type,x1,x2,p,w,L
lowheight,1,3000,100,75,20,130.6918847
lowheight,1,3000,100,75,30,130.6918847
lowheight,1,3000,100,90,20,134.9413174
lowheight,1,3000,100,90,30,134.9413174
lowheight,1,3000,100,95,20,137.4844319
lowheight,1,3000,100,95,30,137.4844319
lowheight,1,3000,500,5,20,142.4152812
lowheight,1,3000,500,5,30,142.4152812
lowheight,1,3000,500,10,20,144.9583957
lowheight,1,3000,500,10,30,144.9583957
lowheight,1,3000,500,25,20,149.2078284
lowheight,1,3000,500,25,30,149.2078284
lowheight,1,3000,500,50,20,153.9292566
lowheight,1,3000,500,50,30,153.9292566
lowheight,1,3000,500,75,20,158.6506849
lowheight,1,3000,500,75,30,158.6506849
lowheight,1,3000,500,90,20,162.9001176
lowheight,1,3000,500,90,30,162.9001176
lowheight,1,3000,500,95,20,165.443232
lowheight,1,3000,500,95,30,165.443232
lowheight,1,3000,1000,5,20,154.4564811
lowheight,1,3000,1000,5,30,154.4564811
lowheight,1,3000,1000,10,20,156.9995955
lowheight,1,3000,1000,10,30,156.9995955
lowheight,1,3000,1000,25,20,161.2490282
lowheight,1,3000,1000,25,30,161.2490282
lowheight,1,3000,1000,50,20,165.9704565
lowheight,1,3000,1000,50,30,165.9704565
lowheight,1,3000,1000,75,20,170.6918847
lowheight,1,3000,1000,75,30,170.6918847
lowheight,1,3000,1000,90,20,174.9413174
lowheight,1,3000,1000,90,30,174.9413174
lowheight,1,3000,1000,95,20,177.4844319
lowheight,1,3000,1000,95,30,177.4844319
lowheight,1,3000,2000,5,20,166.4976809
lowheight,1,3000,2000,5,30,166.4976809
lowheight,1,3000,2000,10,20,169.0407953
lowheight,1,3000,2000,10,30,169.0407953
lowheight,1,3000,2000,25,20,173.290228
lowheight,1,3000,2000,25,30,173.290228
lowheight,1,3000,2000,50,20,178.0116563
lowheight,1,3000,2000,50,30,178.0116563
lowheight,1,3000,2000,75,20,182.7330845
lowheight,1,3000,2000,75,30,182.7330845
lowheight,1,3000,2000,90,20,186.9825172
lowheight,1,3000,2000,90,30,186.9825172
lowheight,1,3000,2000,95,20,189.5256317
lowheight,1,3000,2000,95,30,189.5256317
lowheight,2,300,5,5,20,26.59779998
lowheight,2,300,5,5,30,26.59779998
lowheight,2,300,5,10,20,28.11530496
lowheight,2,300,5,10,30,28.11530496
lowheight,2,300,5,25,20,31.3907017
lowheight,2,300,5,25,30,31.3907017
lowheight,2,300,5,50,20,35.9719348
lowheight,2,300,5,50,30,35.9719348
lowheight,2,300,5,75,20,41.3058034
lowheight,2,300,5,75,30,41.3058034
lowheight,2,300,5,90,20,46.5648381
lowheight,2,300,5,90,30,46.5648381
lowheight,2,300,5,95,20,49.8653544
lowheight,2,300,5,95,30,49.8653544
lowheight,2,300,10,5,20,32.61839989
lowheight,2,300,10,5,30,32.61839989
lowheight,2,300,10,10,20,34.13590487
lowheight,2,300,10,10,30,34.13590487
lowheight,2,300,10,25,20,37.41130161
lowheight,2,300,10,25,30,37.41130161
lowheight,2,300,10,50,20,41.99253471
lowheight,2,300,10,50,30,41.99253471
lowheight,2,300,10,75,20,47.32640332
lowheight,2,300,10,75,30,47.32640332
lowheight,2,300,10,90,20,52.58543801
lowheight,2,300,10,90,30,52.58543801
lowheight,2,300,10,95,20,55.88595431
lowheight,2,300,10,95,30,55.88595431
lowheight,2,300,50,5,20,46.59779998
lowheight,2,300,50,5,30,46.59779998
lowheight,2,300,50,10,20,48.11530496
lowheight,2,300,50,10,30,48.11530496
lowheight,2,300,50,25,20,51.3907017
lowheight,2,300,50,25,30,51.3907017
lowheight,2,300,50,50,20,62.20053457
lowheight,2,300,50,50,30,60.25353573
lowheight,2,300,50,75,20,80.45068489
lowheight,2,300,50,75,30,76.65465787
lowheight,2,300,50,90,20,84.70011759
lowheight,2,300,50,90,30,84.70011759
lowheight,2,300,50,95,20,87.24323202
lowheight,2,300,50,95,30,87.24323202
lowheight,2,300,100,5,20,52.61839989
lowheight,2,300,100,5,30,52.61839989
lowheight,2,300,100,10,20,54.13590487
lowheight,2,300,100,10,30,54.13590487
lowheight,2,300,100,25,20,57.41130161
lowheight,2,300,100,25,30,57.41130161
lowheight,2,300,100,50,20,87.77045646
lowheight,2,300,100,50,30,87.77045646
lowheight,2,300,100,75,20,92.49188471
lowheight,2,300,100,75,30,92.49188471
lowheight,2,300,100,90,20,96.74131742
lowheight,2,300,100,90,30,96.74131742
lowheight,2,300,100,95,20,99.28443185
lowheight,2,300,100,95,30,99.28443185
lowheight,2,300,500,5,20,104.2152812
lowheight,2,300,500,5,30,104.2152812
lowheight,2,300,500,10,20,106.7583957
lowheight,2,300,500,10,30,106.7583957
lowheight,2,300,500,25,20,111.0078284
lowheight,2,300,500,25,30,111.0078284
lowheight,2,300,500,50,20,115.7292566
lowheight,2,300,500,50,30,115.7292566
lowheight,2,300,500,75,20,120.4506849
lowheight,2,300,500,75,30,120.4506849
lowheight,2,300,500,90,20,124.7001176
lowheight,2,300,500,90,30,124.7001176
lowheight,2,300,500,95,20,127.243232
lowheight,2,300,500,95,30,127.243232
lowheight,2,300,1000,5,20,116.2564811
lowheight,2,300,1000,5,30,116.2564811
